Source node name,Source node type,Relationship type,Target node type,Target node name
DB01001,DRUG,TREAT,DISEASE,C0421207
DB01001,DRUG,TREAT,DISEASE,C0520966
DB01001,DRUG,TREAT,DISEASE,C0600260
DB01001,DRUG,TREAT,DISEASE,C2712143
DB00630,DRUG,TREAT,DISEASE,C0005940
DB00630,DRUG,TREAT,DISEASE,C0006826
DB00630,DRUG,TREAT,DISEASE,C0016658
DB00630,DRUG,TREAT,DISEASE,C0017178
DB00630,DRUG,TREAT,DISEASE,C0029401
DB00630,DRUG,TREAT,DISEASE,C0029453
DB00630,DRUG,TREAT,DISEASE,C0029456
DB00630,DRUG,TREAT,DISEASE,C0029458
DB00630,DRUG,TREAT,DISEASE,C0030920
DB00630,DRUG,TREAT,DISEASE,C0080179
DB00630,DRUG,TREAT,DISEASE,C0262431
DB00630,DRUG,TREAT,DISEASE,C0521170
DB00630,DRUG,TREAT,DISEASE,C1306580
DB00630,DRUG,TREAT,DISEASE,C1565489
DB00346,DRUG,TREAT,DISEASE,C0277885
DB00346,DRUG,TREAT,DISEASE,C0341742
DB00346,DRUG,TREAT,DISEASE,C1704272
DB00346,DRUG,TREAT,DISEASE,C1956346
DB00437,DRUG,TREAT,DISEASE,C0002878
DB00437,DRUG,TREAT,DISEASE,C0003868
DB00437,DRUG,TREAT,DISEASE,C0006826
DB00437,DRUG,TREAT,DISEASE,C0017919
DB00437,DRUG,TREAT,DISEASE,C0018099
DB00437,DRUG,TREAT,DISEASE,C0018939
DB00437,DRUG,TREAT,DISEASE,C0021368
DB00437,DRUG,TREAT,DISEASE,C0022650
DB00437,DRUG,TREAT,DISEASE,C0022658
DB00437,DRUG,TREAT,DISEASE,C0023374
DB00437,DRUG,TREAT,DISEASE,C0023418
DB00437,DRUG,TREAT,DISEASE,C0024299
DB00437,DRUG,TREAT,DISEASE,C0027013
DB00437,DRUG,TREAT,DISEASE,C0027022
DB00437,DRUG,TREAT,DISEASE,C0032463
DB00437,DRUG,TREAT,DISEASE,C0035078
DB00437,DRUG,TREAT,DISEASE,C0041981
DB00437,DRUG,TREAT,DISEASE,C0221248
